Feature Method,Classifier,Accuracy,Precision,Recall,F1-Score
original,Decision Tree,0.418212478920742,0.48935662048752815,0.418212478920742,0.44558696845950624
original,Random Forest,0.6306913996627319,0.6921665868637594,0.6306913996627319,0.6481452478904851
original,XGBoost,0.6720067453625632,0.6879572515980784,0.6720067453625632,0.6787067946009299
original,KNN,0.5286677908937606,0.6779626103923122,0.5286677908937606,0.5819104244715172
original,SVM,0.6391231028667791,0.6817484353385889,0.6391231028667791,0.6557941788350401
original,ANN (MLP),0.6172006745362564,0.6435860464710133,0.6172006745362564,0.6283054281292627
original,Extra Trees,0.6011804384485666,0.6452833619787498,0.6011804384485666,0.6050955806248547
original,Gradient Boost,0.6509274873524452,0.6964910315133366,0.6509274873524452,0.6681063249507084
kbest,Decision Tree,0.38532883642495785,0.46182798247797907,0.38532883642495785,0.41371708753500397
kbest,Random Forest,0.5564924114671164,0.6172397689418863,0.5564924114671164,0.5719019732415884
kbest,XGBoost,0.5809443507588533,0.6181069303926177,0.5809443507588533,0.5929229020143111
kbest,KNN,0.47807757166947723,0.5919011535273532,0.47807757166947723,0.5124982706988414
kbest,SVM,0.5935919055649241,0.6293761217872845,0.5935919055649241,0.6070185839879428
kbest,ANN (MLP),0.581787521079258,0.6259391512285554,0.581787521079258,0.5988544126922777
kbest,Extra Trees,0.5598650927487352,0.6095431080453363,0.5598650927487352,0.5692568053440492
kbest,Gradient Boost,0.5733558178752108,0.6128631628025408,0.5733558178752108,0.5872118653192572
pca,Decision Tree,0.36930860033726814,0.4401008244202095,0.36930860033726814,0.39702154205092566
pca,Random Forest,0.5944350758853288,0.6116994345645299,0.5944350758853288,0.5958318595153614
pca,XGBoost,0.5994940978077572,0.6381053623347289,0.5994940978077572,0.6139572637079622
pca,KNN,0.5261382799325464,0.5952437715946324,0.5261382799325464,0.552286651216471
pca,SVM,0.25379426644182124,0.6722101661764222,0.25379426644182124,0.20116653525370673
pca,ANN (MLP),0.6231028667790893,0.6517366105080916,0.6231028667790893,0.6343643100922848
pca,Extra Trees,0.6172006745362564,0.6179206333166756,0.6172006745362564,0.6082276855158523
pca,Gradient Boost,0.5716694772344013,0.6153359718710264,0.5716694772344013,0.5875107151847531
rfe,Decision Tree,0.45699831365935917,0.5349271525707804,0.45699831365935917,0.48595067785655477
rfe,Random Forest,0.6509274873524452,0.695206902163102,0.6509274873524452,0.667060321945331
rfe,XGBoost,0.6854974704890388,0.7027768260147012,0.6854974704890388,0.6925178135179775
rfe,KNN,0.5590219224283305,0.657331506224413,0.5590219224283305,0.5908477171279041
rfe,SVM,0.6323777403035413,0.6615785177068829,0.6323777403035413,0.6400222099484186
rfe,ANN (MLP),0.6239460370994941,0.6647515005964587,0.6239460370994941,0.6405413102528581
rfe,Extra Trees,0.6138279932546374,0.6559788293318113,0.6138279932546374,0.6258590614418404
rfe,Gradient Boost,0.6661045531197302,0.6986541909655996,0.6661045531197302,0.6794096281230539
